"year","geo","country","sex","ple","NMS"
1992,"CZ01","CZ","F",76.8,"New Member States"
1993,"CZ01","CZ","F",77.1,"New Member States"
1994,"CZ01","CZ","F",77.2,"New Member States"
1995,"CZ01","CZ","F",77.3,"New Member States"
1996,"CZ01","CZ","F",78.2,"New Member States"
1997,"CZ01","CZ","F",78.4,"New Member States"
1998,"CZ01","CZ","F",78.9,"New Member States"
1999,"CZ01","CZ","F",79.1,"New Member States"
2000,"CZ01","CZ","F",79.4,"New Member States"
2001,"CZ01","CZ","F",79.3,"New Member States"
2002,"CZ01","CZ","F",79.2,"New Member States"
2003,"CZ01","CZ","F",79.4,"New Member States"
2004,"CZ01","CZ","F",79.9,"New Member States"
2005,"CZ01","CZ","F",80.2,"New Member States"
2006,"CZ01","CZ","F",80.8,"New Member States"
2007,"CZ01","CZ","F",81.1,"New Member States"
2008,"CZ01","CZ","F",81.3,"New Member States"
2009,"CZ01","CZ","F",81.4,"New Member States"
2010,"CZ01","CZ","F",82,"New Member States"
2011,"CZ01","CZ","F",82.2,"New Member States"
2012,"CZ01","CZ","F",82.1,"New Member States"
2013,"CZ01","CZ","F",82.5,"New Member States"
2014,"CZ01","CZ","F",82.6,"New Member States"
2015,"CZ01","CZ","F",82.7,"New Member States"
2016,"CZ01","CZ","F",82.9,"New Member States"
1992,"CZ02","CZ","F",75.9,"New Member States"
1993,"CZ02","CZ","F",75.8,"New Member States"
1994,"CZ02","CZ","F",76.5,"New Member States"
1995,"CZ02","CZ","F",76.6,"New Member States"
1996,"CZ02","CZ","F",77.2,"New Member States"
1997,"CZ02","CZ","F",77.1,"New Member States"
1998,"CZ02","CZ","F",77.9,"New Member States"
1999,"CZ02","CZ","F",77.6,"New Member States"
2000,"CZ02","CZ","F",78,"New Member States"
2001,"CZ02","CZ","F",78.3,"New Member States"
2002,"CZ02","CZ","F",78.5,"New Member States"
2003,"CZ02","CZ","F",78.1,"New Member States"
2004,"CZ02","CZ","F",78.7,"New Member States"
2005,"CZ02","CZ","F",78.6,"New Member States"
2006,"CZ02","CZ","F",79.7,"New Member States"
2007,"CZ02","CZ","F",80,"New Member States"
2008,"CZ02","CZ","F",80.3,"New Member States"
2009,"CZ02","CZ","F",80.2,"New Member States"
2010,"CZ02","CZ","F",80.7,"New Member States"
2011,"CZ02","CZ","F",80.9,"New Member States"
2012,"CZ02","CZ","F",80.9,"New Member States"
