"year","geo","country","sex","ple","NMS"
1992,"EE00","EE","F",74.8,"New Member States"
1993,"EE00","EE","F",74,"New Member States"
1994,"EE00","EE","F",72.9,"New Member States"
1995,"EE00","EE","F",74.3,"New Member States"
1996,"EE00","EE","F",75.6,"New Member States"
1997,"EE00","EE","F",75.9,"New Member States"
1998,"EE00","EE","F",75.4,"New Member States"
1999,"EE00","EE","F",76,"New Member States"
2000,"EE00","EE","F",76.4,"New Member States"
2001,"EE00","EE","F",76.5,"New Member States"
2002,"EE00","EE","F",77.2,"New Member States"
2003,"EE00","EE","F",77.2,"New Member States"
2004,"EE00","EE","F",78,"New Member States"
2005,"EE00","EE","F",78.2,"New Member States"
2006,"EE00","EE","F",78.6,"New Member States"
2007,"EE00","EE","F",78.9,"New Member States"
2008,"EE00","EE","F",79.5,"New Member States"
2009,"EE00","EE","F",80.3,"New Member States"
2010,"EE00","EE","F",80.8,"New Member States"
2011,"EE00","EE","F",81.3,"New Member States"
2012,"EE00","EE","F",81.5,"New Member States"
2013,"EE00","EE","F",81.7,"New Member States"
2014,"EE00","EE","F",81.9,"New Member States"
2015,"EE00","EE","F",82.2,"New Member States"
2016,"EE00","EE","F",82.2,"New Member States"
1992,"EE00","EE","M",63.4,"New Member States"
1993,"EE00","EE","M",62.3,"New Member States"
1994,"EE00","EE","M",60.6,"New Member States"
1995,"EE00","EE","M",61.4,"New Member States"
1996,"EE00","EE","M",64.2,"New Member States"
1997,"EE00","EE","M",64.2,"New Member States"
1998,"EE00","EE","M",63.9,"New Member States"
1999,"EE00","EE","M",64.7,"New Member States"
2000,"EE00","EE","M",65.6,"New Member States"
2001,"EE00","EE","M",65.2,"New Member States"
2002,"EE00","EE","M",65.6,"New Member States"
2003,"EE00","EE","M",66.4,"New Member States"
2004,"EE00","EE","M",66.7,"New Member States"
2005,"EE00","EE","M",67.6,"New Member States"
2006,"EE00","EE","M",67.6,"New Member States"
2007,"EE00","EE","M",67.5,"New Member States"
2008,"EE00","EE","M",68.9,"New Member States"
2009,"EE00","EE","M",70,"New Member States"
2010,"EE00","EE","M",70.9,"New Member States"
2011,"EE00","EE","M",71.4,"New Member States"
2012,"EE00","EE","M",71.4,"New Member States"
2013,"EE00","EE","M",72.8,"New Member States"
2014,"EE00","EE","M",72.4,"New Member States"
2015,"EE00","EE","M",73.2,"New Member States"
2016,"EE00","EE","M",73.3,"New Member States"
