"year","geo","country","sex","ple","NMS"
1992,"LT00","LT","F",76,"New Member States"
1993,"LT00","LT","F",75,"New Member States"
1994,"LT00","LT","F",74.9,"New Member States"
1995,"LT00","LT","F",75.1,"New Member States"
1996,"LT00","LT","F",75.9,"New Member States"
1997,"LT00","LT","F",76.6,"New Member States"
1998,"LT00","LT","F",76.7,"New Member States"
1999,"LT00","LT","F",77,"New Member States"
2000,"LT00","LT","F",77.4,"New Member States"
2001,"LT00","LT","F",77.4,"New Member States"
2002,"LT00","LT","F",77.4,"New Member States"
2003,"LT00","LT","F",77.7,"New Member States"
2004,"LT00","LT","F",77.7,"New Member States"
2005,"LT00","LT","F",77.4,"New Member States"
2006,"LT00","LT","F",77.1,"New Member States"
2007,"LT00","LT","F",77.2,"New Member States"
2008,"LT00","LT","F",77.6,"New Member States"
2009,"LT00","LT","F",78.7,"New Member States"
2010,"LT00","LT","F",78.9,"New Member States"
2011,"LT00","LT","F",79.3,"New Member States"
2012,"LT00","LT","F",79.6,"New Member States"
2013,"LT00","LT","F",79.6,"New Member States"
2014,"LT00","LT","F",80.1,"New Member States"
2015,"LT00","LT","F",79.7,"New Member States"
2016,"LT00","LT","F",80.1,"New Member States"
1992,"LT00","LT","M",64.8,"New Member States"
1993,"LT00","LT","M",63.1,"New Member States"
1994,"LT00","LT","M",62.5,"New Member States"
1995,"LT00","LT","M",63.3,"New Member States"
1996,"LT00","LT","M",64.6,"New Member States"
1997,"LT00","LT","M",65.5,"New Member States"
1998,"LT00","LT","M",66,"New Member States"
1999,"LT00","LT","M",66.3,"New Member States"
2000,"LT00","LT","M",66.7,"New Member States"
2001,"LT00","LT","M",65.9,"New Member States"
2002,"LT00","LT","M",66.1,"New Member States"
2003,"LT00","LT","M",66.4,"New Member States"
2004,"LT00","LT","M",66.2,"New Member States"
2005,"LT00","LT","M",65.2,"New Member States"
2006,"LT00","LT","M",65,"New Member States"
2007,"LT00","LT","M",64.5,"New Member States"
2008,"LT00","LT","M",65.9,"New Member States"
2009,"LT00","LT","M",67.1,"New Member States"
2010,"LT00","LT","M",67.6,"New Member States"
2011,"LT00","LT","M",68.1,"New Member States"
2012,"LT00","LT","M",68.4,"New Member States"
2013,"LT00","LT","M",68.5,"New Member States"
2014,"LT00","LT","M",69.2,"New Member States"
2015,"LT00","LT","M",69.2,"New Member States"
2016,"LT00","LT","M",69.5,"New Member States"
