"year","geo","country","sex","ple","NMS"
1992,"LV00","LV","F",74.3,"New Member States"
1993,"LV00","LV","F",73.2,"New Member States"
1994,"LV00","LV","F",72.25,"New Member States"
1995,"LV00","LV","F",72.66,"New Member States"
1996,"LV00","LV","F",74.41,"New Member States"
1997,"LV00","LV","F",74.68,"New Member States"
1998,"LV00","LV","F",74.45,"New Member States"
1999,"LV00","LV","F",74.96,"New Member States"
2000,"LV00","LV","F",75.7,"New Member States"
2001,"LV00","LV","F",75.46,"New Member States"
2002,"LV00","LV","F",75.85,"New Member States"
2003,"LV00","LV","F",75.71,"New Member States"
2004,"LV00","LV","F",76.07,"New Member States"
2005,"LV00","LV","F",76.28,"New Member States"
2006,"LV00","LV","F",76.08,"New Member States"
2007,"LV00","LV","F",76.21,"New Member States"
2008,"LV00","LV","F",77.39,"New Member States"
2009,"LV00","LV","F",77.59,"New Member States"
2010,"LV00","LV","F",77.84,"New Member States"
2011,"LV00","LV","F",78.51,"New Member States"
2012,"LV00","LV","F",78.68,"New Member States"
2013,"LV00","LV","F",78.74,"New Member States"
2014,"LV00","LV","F",79.23,"New Member States"
2015,"LV00","LV","F",79.33,"New Member States"
2016,"LV00","LV","F",79.39,"New Member States"
1992,"LV00","LV","M",62.58,"New Member States"
1993,"LV00","LV","M",60.38,"New Member States"
1994,"LV00","LV","M",58.72,"New Member States"
1995,"LV00","LV","M",59.71,"New Member States"
1996,"LV00","LV","M",62.73,"New Member States"
1997,"LV00","LV","M",63.62,"New Member States"
1998,"LV00","LV","M",63.2,"New Member States"
1999,"LV00","LV","M",64.19,"New Member States"
2000,"LV00","LV","M",64.53,"New Member States"
2001,"LV00","LV","M",64.26,"New Member States"
2002,"LV00","LV","M",64.43,"New Member States"
2003,"LV00","LV","M",65.35,"New Member States"
2004,"LV00","LV","M",65.6,"New Member States"
2005,"LV00","LV","M",64.94,"New Member States"
2006,"LV00","LV","M",64.96,"New Member States"
2007,"LV00","LV","M",65.3,"New Member States"
2008,"LV00","LV","M",66.45,"New Member States"
2009,"LV00","LV","M",67.51,"New Member States"
2010,"LV00","LV","M",67.89,"New Member States"
2011,"LV00","LV","M",68.55,"New Member States"
2012,"LV00","LV","M",68.86,"New Member States"
2013,"LV00","LV","M",69.26,"New Member States"
2014,"LV00","LV","M",69.07,"New Member States"
2015,"LV00","LV","M",69.68,"New Member States"
2016,"LV00","LV","M",69.79,"New Member States"
