"year","geo","country","sex","ple","NMS"
1992,"PL11","PL","F",75.1,"New Member States"
1993,"PL11","PL","F",75.6,"New Member States"
1994,"PL11","PL","F",75.4,"New Member States"
1995,"PL11","PL","F",75.7,"New Member States"
1996,"PL11","PL","F",75.9,"New Member States"
1997,"PL11","PL","F",76.3,"New Member States"
1998,"PL11","PL","F",76.4,"New Member States"
1999,"PL11","PL","F",76.5,"New Member States"
2000,"PL11","PL","F",77.2,"New Member States"
2001,"PL11","PL","F",77.55,"New Member States"
2002,"PL11","PL","F",77.9,"New Member States"
2003,"PL11","PL","F",78,"New Member States"
2004,"PL11","PL","F",78.4,"New Member States"
2005,"PL11","PL","F",78.3,"New Member States"
2006,"PL11","PL","F",78.6,"New Member States"
2007,"PL11","PL","F",78.6,"New Member States"
2008,"PL11","PL","F",78.9,"New Member States"
2009,"PL11","PL","F",78.9,"New Member States"
2010,"PL11","PL","F",79.5,"New Member States"
2011,"PL11","PL","F",79.7,"New Member States"
2012,"PL11","PL","F",79.9,"New Member States"
2013,"PL11","PL","F",80.1,"New Member States"
2014,"PL11","PL","F",80.9,"New Member States"
2015,"PL11","PL","F",80.4,"New Member States"
2016,"PL11","PL","F",80.9,"New Member States"
1992,"PL12","PL","F",75.9,"New Member States"
1993,"PL12","PL","F",74.8,"New Member States"
1994,"PL12","PL","F",76.5,"New Member States"
1995,"PL12","PL","F",76.8,"New Member States"
1996,"PL12","PL","F",76.9,"New Member States"
1997,"PL12","PL","F",77.3,"New Member States"
1998,"PL12","PL","F",77.6,"New Member States"
1999,"PL12","PL","F",77.9,"New Member States"
2000,"PL12","PL","F",78.7,"New Member States"
2001,"PL12","PL","F",79,"New Member States"
2002,"PL12","PL","F",79.3,"New Member States"
2003,"PL12","PL","F",79.2,"New Member States"
2004,"PL12","PL","F",79.8,"New Member States"
2005,"PL12","PL","F",80.1,"New Member States"
2006,"PL12","PL","F",80.2,"New Member States"
2007,"PL12","PL","F",80.5,"New Member States"
2008,"PL12","PL","F",80.7,"New Member States"
2009,"PL12","PL","F",80.5,"New Member States"
2010,"PL12","PL","F",81.2,"New Member States"
2011,"PL12","PL","F",81.7,"New Member States"
2012,"PL12","PL","F",81.5,"New Member States"
2013,"PL12","PL","F",81.8,"New Member States"
2014,"PL12","PL","F",82.1,"New Member States"
2015,"PL12","PL","F",82.1,"New Member States"
2016,"PL12","PL","F",82.5,"New Member States"
1992,"PL21","PL","F",76.4,"New Member States"
1993,"PL21","PL","F",76.7,"New Member States"
1994,"PL21","PL","F",77,"New Member States"
1995,"PL21","PL","F",77.1,"New Member States"
1996,"PL21","PL","F",77.4,"New Member States"
1997,"PL21","PL","F",77.6,"New Member States"
1998,"PL21","PL","F",78.3,"New Member States"
1999,"PL21","PL","F",78.2,"New Member States"
2000,"PL21","PL","F",78.8,"New Member States"
2001,"PL21","PL","F",79.2,"New Member States"
2002,"PL21","PL","F",79.6,"New Member States"
2003,"PL21","PL","F",79.6,"New Member States"
2004,"PL21","PL","F",80.3,"New Member States"
2005,"PL21","PL","F",80.1,"New Member States"
2006,"PL21","PL","F",80.6,"New Member States"
2007,"PL21","PL","F",80.7,"New Member States"
2008,"PL21","PL","F",80.9,"New Member States"
2009,"PL21","PL","F",81.3,"New Member States"
2010,"PL21","PL","F",81.6,"New Member States"
2011,"PL21","PL","F",82,"New Member States"
2012,"PL21","PL","F",82.1,"New Member States"
2013,"PL21","PL","F",82.2,"New Member States"
2014,"PL21","PL","F",82.7,"New Member States"
2015,"PL21","PL","F",82.5,"New Member States"
2016,"PL21","PL","F",83.1,"New Member States"
1992,"PL22","PL","F",74.7,"New Member States"
1993,"PL22","PL","F",75.2,"New Member States"
1994,"PL22","PL","F",75.1,"New Member States"
1995,"PL22","PL","F",75.7,"New Member States"
1996,"PL22","PL","F",76,"New Member States"
1997,"PL22","PL","F",76.5,"New Member States"
1998,"PL22","PL","F",76.9,"New Member States"
1999,"PL22","PL","F",76.8,"New Member States"
2000,"PL22","PL","F",77.2,"New Member States"
2001,"PL22","PL","F",77.65,"New Member States"
2002,"PL22","PL","F",78.1,"New Member States"
2003,"PL22","PL","F",78.1,"New Member States"
2004,"PL22","PL","F",78.5,"New Member States"
2005,"PL22","PL","F",78.5,"New Member States"
2006,"PL22","PL","F",79,"New Member States"
2007,"PL22","PL","F",78.9,"New Member States"
2008,"PL22","PL","F",79.1,"New Member States"
2009,"PL22","PL","F",79.3,"New Member States"
2010,"PL22","PL","F",80,"New Member States"
2011,"PL22","PL","F",80.1,"New Member States"
2012,"PL22","PL","F",80.2,"New Member States"
2013,"PL22","PL","F",80.2,"New Member States"
2014,"PL22","PL","F",80.6,"New Member States"
2015,"PL22","PL","F",80.3,"New Member States"
2016,"PL22","PL","F",81.1,"New Member States"
1992,"PL31","PL","F",76.4,"New Member States"
1993,"PL31","PL","F",76.8,"New Member States"
1994,"PL31","PL","F",76.9,"New Member States"
1995,"PL31","PL","F",77.2,"New Member States"
1996,"PL31","PL","F",77.3,"New Member States"
1997,"PL31","PL","F",77.4,"New Member States"
1998,"PL31","PL","F",77.7,"New Member States"
1999,"PL31","PL","F",78.1,"New Member States"
2000,"PL31","PL","F",78.4,"New Member States"
2001,"PL31","PL","F",78.8,"New Member States"
2002,"PL31","PL","F",79.2,"New Member States"
2003,"PL31","PL","F",79.4,"New Member States"
2004,"PL31","PL","F",79.4,"New Member States"
2005,"PL31","PL","F",79.7,"New Member States"
2006,"PL31","PL","F",80.2,"New Member States"
2007,"PL31","PL","F",80.3,"New Member States"
2008,"PL31","PL","F",80.5,"New Member States"
2009,"PL31","PL","F",80.5,"New Member States"
2010,"PL31","PL","F",81,"New Member States"
2011,"PL31","PL","F",81.3,"New Member States"
2012,"PL31","PL","F",81.6,"New Member States"
2013,"PL31","PL","F",81.6,"New Member States"
2014,"PL31","PL","F",82.4,"New Member States"
2015,"PL31","PL","F",82.4,"New Member States"
2016,"PL31","PL","F",83,"New Member States"
1992,"PL32","PL","F",76.9,"New Member States"
1993,"PL32","PL","F",77.2,"New Member States"
1994,"PL32","PL","F",77.5,"New Member States"
1995,"PL32","PL","F",77.7,"New Member States"
1996,"PL32","PL","F",77.6,"New Member States"
1997,"PL32","PL","F",77.7,"New Member States"
1998,"PL32","PL","F",78.5,"New Member States"
1999,"PL32","PL","F",78.6,"New Member States"
2000,"PL32","PL","F",79,"New Member States"
2001,"PL32","PL","F",79.35,"New Member States"
2002,"PL32","PL","F",79.7,"New Member States"
2003,"PL32","PL","F",79.5,"New Member States"
2004,"PL32","PL","F",80,"New Member States"
2005,"PL32","PL","F",80.1,"New Member States"
2006,"PL32","PL","F",80.8,"New Member States"
2007,"PL32","PL","F",80.9,"New Member States"
2008,"PL32","PL","F",81.3,"New Member States"
2009,"PL32","PL","F",81.3,"New Member States"
2010,"PL32","PL","F",82,"New Member States"
2011,"PL32","PL","F",82.3,"New Member States"
2012,"PL32","PL","F",82.4,"New Member States"
2013,"PL32","PL","F",82.6,"New Member States"
2014,"PL32","PL","F",83,"New Member States"
2015,"PL32","PL","F",82.6,"New Member States"
2016,"PL32","PL","F",83.1,"New Member States"
1992,"PL33","PL","F",76.1,"New Member States"
1993,"PL33","PL","F",76.4,"New Member States"
1994,"PL33","PL","F",76.7,"New Member States"
1995,"PL33","PL","F",77.1,"New Member States"
1996,"PL33","PL","F",77.2,"New Member States"
1997,"PL33","PL","F",77.6,"New Member States"
1998,"PL33","PL","F",78.2,"New Member States"
1999,"PL33","PL","F",78.1,"New Member States"
2000,"PL33","PL","F",78.6,"New Member States"
2001,"PL33","PL","F",78.9,"New Member States"
2002,"PL33","PL","F",79.2,"New Member States"
2003,"PL33","PL","F",79.4,"New Member States"
2004,"PL33","PL","F",80,"New Member States"
2005,"PL33","PL","F",80.1,"New Member States"
2006,"PL33","PL","F",80.2,"New Member States"
2007,"PL33","PL","F",80.5,"New Member States"
2008,"PL33","PL","F",80.5,"New Member States"
2009,"PL33","PL","F",81.1,"New Member States"
2010,"PL33","PL","F",80.8,"New Member States"
2011,"PL33","PL","F",81.5,"New Member States"
2012,"PL33","PL","F",81.7,"New Member States"
2013,"PL33","PL","F",81.6,"New Member States"
2014,"PL33","PL","F",82.2,"New Member States"
2015,"PL33","PL","F",82.2,"New Member States"
