"year","geo","country","sex","ple","NMS"
1992,"SI00","SI","F",77.6,"New Member States"
1993,"SI00","SI","F",77.6,"New Member States"
1994,"SI00","SI","F",77.8,"New Member States"
1995,"SI00","SI","F",78.5,"New Member States"
1996,"SI00","SI","F",79,"New Member States"
1997,"SI00","SI","F",79.1,"New Member States"
1998,"SI00","SI","F",79.2,"New Member States"
1999,"SI00","SI","F",79.5,"New Member States"
2000,"SI00","SI","F",79.9,"New Member States"
2001,"SI00","SI","F",80.4,"New Member States"
2002,"SI00","SI","F",80.5,"New Member States"
2003,"SI00","SI","F",80.3,"New Member States"
2004,"SI00","SI","F",80.8,"New Member States"
2005,"SI00","SI","F",80.9,"New Member States"
2006,"SI00","SI","F",82,"New Member States"
2007,"SI00","SI","F",82,"New Member States"
2008,"SI00","SI","F",82.6,"New Member States"
2009,"SI00","SI","F",82.7,"New Member States"
2010,"SI00","SI","F",83.1,"New Member States"
2011,"SI00","SI","F",83.3,"New Member States"
2012,"SI00","SI","F",83.3,"New Member States"
2013,"SI00","SI","F",83.6,"New Member States"
2014,"SI00","SI","F",84.1,"New Member States"
2015,"SI00","SI","F",83.9,"New Member States"
2016,"SI00","SI","F",84.3,"New Member States"
1992,"SI00","SI","M",69.6,"New Member States"
1993,"SI00","SI","M",69.4,"New Member States"
1994,"SI00","SI","M",70.1,"New Member States"
1995,"SI00","SI","M",70.8,"New Member States"
1996,"SI00","SI","M",71.1,"New Member States"
1997,"SI00","SI","M",71.1,"New Member States"
1998,"SI00","SI","M",71.3,"New Member States"
1999,"SI00","SI","M",71.8,"New Member States"
2000,"SI00","SI","M",72.2,"New Member States"
2001,"SI00","SI","M",72.3,"New Member States"
2002,"SI00","SI","M",72.6,"New Member States"
2003,"SI00","SI","M",72.5,"New Member States"
2004,"SI00","SI","M",73.5,"New Member States"
2005,"SI00","SI","M",73.9,"New Member States"
2006,"SI00","SI","M",74.5,"New Member States"
2007,"SI00","SI","M",74.6,"New Member States"
2008,"SI00","SI","M",75.5,"New Member States"
2009,"SI00","SI","M",75.9,"New Member States"
2010,"SI00","SI","M",76.4,"New Member States"
2011,"SI00","SI","M",76.8,"New Member States"
2012,"SI00","SI","M",77.1,"New Member States"
2013,"SI00","SI","M",77.2,"New Member States"
2014,"SI00","SI","M",78.2,"New Member States"
2015,"SI00","SI","M",77.8,"New Member States"
2016,"SI00","SI","M",78.2,"New Member States"
