"year","country","sex","ple","pop"
1990,"AT","Women",78.87,3990612.73
1990,"AT","Men",72.23,3654767
1991,"AT","Women",78.98,4015611.42
1991,"AT","Men",72.26,3696285.8
1992,"AT","Women",79.14,4052765.59
1992,"AT","Men",72.5,3746435.89
1993,"AT","Women",79.34,4089332.92
1993,"AT","Men",72.76,3792922.76
1994,"AT","Women",79.63,4107612.75
1994,"AT","Men",73.12,3820496.99
1995,"AT","Women",79.95,4111702.75
1995,"AT","Men",73.29,3830717.28
1996,"AT","Women",80.08,4115438.92
1996,"AT","Men",73.66,3836575.51
1997,"AT","Women",80.54,4120339.36
1997,"AT","Men",74.02,3843635.58
1998,"AT","Women",80.82,4122221.16
1998,"AT","Men",74.44,3847942.23
1999,"AT","Women",80.83,4125913.85
1999,"AT","Men",74.78,3855687.73
2000,"AT","Women",81.09,4133253.49
2000,"AT","Men",75.1,3867931.66
2001,"AT","Women",81.56,4139064.74
2001,"AT","Men",75.59,3880655.23
2002,"AT","Women",81.66,4154240.53
2002,"AT","Men",75.78,3905557.44
2003,"AT","Women",81.54,4169635.21
2003,"AT","Men",75.92,3929098.86
2004,"AT","Women",82.09,4189877.1
2004,"AT","Men",76.39,3952359.72
2005,"AT","Women",82.21,4216388.74
2005,"AT","Men",76.62,3984598.68
2006,"AT","Women",82.63,4239823.88
2006,"AT","Men",77.08,4014012.54
2007,"AT","Women",82.83,4252535.86
2007,"AT","Men",77.29,4029563.17
2008,"AT","Women",82.95,4264984.05
2008,"AT","Men",77.58,4042154
2009,"AT","Women",82.85,4277711.05
2009,"AT","Men",77.4,4056766
2010,"AT","Women",83.12,4285107.05
2010,"AT","Men",77.66,4066068
2011,"AT","Women",83.43,4296072.05
2011,"AT","Men",78.07,4078738
2012,"AT","Women",83.29,4309824.05
2012,"AT","Men",78.26,4098030
2013,"AT","Women",83.56,4328144.05
2013,"AT","Men",78.46,4123555
2014,"AT","Women",83.73,4352367.05
2014,"AT","Men",78.92,4155271
2015,"AT","Women",83.59,4384397.05
2015,"AT","Men",78.63,4200342
2016,"AT","Women",83.94,4427832.05
2016,"AT","Men",79.14,4272519
2017,"AT","Women",83.89,4460380.05
