"year","geo","country","sex","ple"
1992,"SI00","SI","F",77.6
1993,"SI00","SI","F",77.6
1994,"SI00","SI","F",77.8
1995,"SI00","SI","F",78.5
1996,"SI00","SI","F",79
1997,"SI00","SI","F",79.1
1998,"SI00","SI","F",79.2
1999,"SI00","SI","F",79.5
2000,"SI00","SI","F",79.9
2001,"SI00","SI","F",80.4
2002,"SI00","SI","F",80.5
2003,"SI00","SI","F",80.3
2004,"SI00","SI","F",80.8
2005,"SI00","SI","F",80.9
2006,"SI00","SI","F",82
2007,"SI00","SI","F",82
2008,"SI00","SI","F",82.6
2009,"SI00","SI","F",82.7
2010,"SI00","SI","F",83.1
2011,"SI00","SI","F",83.3
2012,"SI00","SI","F",83.3
2013,"SI00","SI","F",83.6
2014,"SI00","SI","F",84.1
2015,"SI00","SI","F",83.9
2016,"SI00","SI","F",84.3
1992,"SI00","SI","M",69.6
1993,"SI00","SI","M",69.4
1994,"SI00","SI","M",70.1
1995,"SI00","SI","M",70.8
1996,"SI00","SI","M",71.1
1997,"SI00","SI","M",71.1
1998,"SI00","SI","M",71.3
1999,"SI00","SI","M",71.8
2000,"SI00","SI","M",72.2
2001,"SI00","SI","M",72.3
2002,"SI00","SI","M",72.6
2003,"SI00","SI","M",72.5
2004,"SI00","SI","M",73.5
2005,"SI00","SI","M",73.9
2006,"SI00","SI","M",74.5
2007,"SI00","SI","M",74.6
2008,"SI00","SI","M",75.5
2009,"SI00","SI","M",75.9
2010,"SI00","SI","M",76.4
2011,"SI00","SI","M",76.8
2012,"SI00","SI","M",77.1
2013,"SI00","SI","M",77.2
2014,"SI00","SI","M",78.2
2015,"SI00","SI","M",77.8
2016,"SI00","SI","M",78.2
1992,"AT11","AT","F",79
1993,"AT11","AT","F",79.6
1994,"AT11","AT","F",80
1995,"AT11","AT","F",79.85
1996,"AT11","AT","F",79.7
1997,"AT11","AT","F",80.6
1998,"AT11","AT","F",81.1
1999,"AT11","AT","F",80.3
2000,"AT11","AT","F",81.2
2001,"AT11","AT","F",81.9
2002,"AT11","AT","F",82
2003,"AT11","AT","F",80.9
2004,"AT11","AT","F",82.3
2005,"AT11","AT","F",81.8
2006,"AT11","AT","F",82.6
2007,"AT11","AT","F",83.3
2008,"AT11","AT","F",83.4
2009,"AT11","AT","F",84.2
2010,"AT11","AT","F",83.9
2011,"AT11","AT","F",84.3
2012,"AT11","AT","F",83.1
2013,"AT11","AT","F",83.8
2014,"AT11","AT","F",83.5
2015,"AT11","AT","F",83.9
2016,"AT11","AT","F",83.6
1992,"AT12","AT","F",79.2
1993,"AT12","AT","F",79.4
1994,"AT12","AT","F",79.3
1995,"AT12","AT","F",79.6
1996,"AT12","AT","F",79.9
1997,"AT12","AT","F",80.4
1998,"AT12","AT","F",80.5
1999,"AT12","AT","F",80.5
2000,"AT12","AT","F",81
