"year","sex","Ttotal"
1992,"F",0.000523836456564056
1993,"F",0.000518083595222984
1994,"F",0.000553613981436644
1995,"F",0.000505261771324779
1996,"F",0.000464746786909628
1997,"F",0.0004480900459534
1998,"F",0.000422104645927961
1999,"F",0.000418686594314465
2000,"F",0.000390674268800341
2001,"F",0.000395180343498395
2002,"F",0.000364235287629437
2003,"F",0.000337297927244423
2004,"F",0.000366105238928641
2005,"F",0.000361315137279332
2006,"F",0.000375547183641095
2007,"F",0.000384359404155488
2008,"F",0.000342486864043164
2009,"F",0.000350651288466046
2010,"F",0.000340131853032369
2011,"F",0.000331911860142821
2012,"F",0.000305267395512415
2013,"F",0.00033126421552564
2014,"F",0.000311971190865144
2015,"F",0.000291681739782884
2016,"F",0.000276839156419141
1992,"M",0.00120279119488888
1993,"M",0.00122639847585562
1994,"M",0.00130368338976729
1995,"M",0.00122431727619009
1996,"M",0.00104332987691559
1997,"M",0.00103079034267544
1998,"M",0.00103779650423565
1999,"M",0.00102285982863209
2000,"M",0.000932496585822077
2001,"M",0.000915705663464683
2002,"M",0.000900546696056801
2003,"M",0.000873823644493753
2004,"M",0.000920797298923726
2005,"M",0.000929727332908416
2006,"M",0.000967550503353894
2007,"M",0.000994537056401032
2008,"M",0.000928088084867986
2009,"M",0.000877618957327114
2010,"M",0.000833746246998658
2011,"M",0.00078194874942852
2012,"M",0.000751729632389645
2013,"M",0.000766089054859972
2014,"M",0.000721412071239539
2015,"M",0.000698883066746058
2016,"M",0.000715342886300447
